intervention_id,partner_id,intervention_type,intervention_date,outcome,uplift_signal,outcome_recorded_at,created_at
ae036808-d53a-4dbb-b8d2-855fe836682b,P10020,email,2025-12-18T04:12:18.856448,Retained,-0.271,2026-01-17T04:12:18.856448,2026-02-07T04:12:18.856456
bea88e24-768d-4499-8519-01fbdc3b46f7,P10020,call,2025-12-23T04:12:18.856488,Retained,-0.405,2026-01-22T04:12:18.856488,2026-02-07T04:12:18.856495
f89a9356-c16d-4e5e-8ee6-76a9e3061262,P10021,call,2025-11-25T04:12:18.856542,Churned,-0.015,2025-12-25T04:12:18.856542,2026-02-07T04:12:18.856549
7b8d3689-93d4-4412-8411-2cd76ead1b58,P10021,email,2025-11-19T04:12:18.856583,Retained,-0.124,2025-12-19T04:12:18.856583,2026-02-07T04:12:18.856591
7bafa34a-76d6-48fe-9082-3d0c55567f00,P10022,none,2025-12-02T04:12:18.856638,Retained,-0.137,2026-01-01T04:12:18.856638,2026-02-07T04:12:18.856645
39fea139-d9a9-4447-9603-1e6e22b175ae,P10023,none,2026-01-07T04:12:18.856695,Retained,-0.039,2026-02-06T04:12:18.856695,2026-02-07T04:12:18.856703
a1429159-3830-4a0e-bfde-7f78f1de32c7,P10023,none,2025-12-29T04:12:18.856735,Retained,0.2,2026-01-28T04:12:18.856735,2026-02-07T04:12:18.856743
a6fdadaa-fbfe-4692-ac33-58c8c362c336,P10023,email,2025-12-18T04:12:18.856776,Retained,0.2,2026-01-17T04:12:18.856776,2026-02-07T04:12:18.856784
53f68453-1c9a-474f-8804-c0cb930d5bc9,P10024,email,2025-11-23T04:12:18.856833,Retained,0.104,2025-12-23T04:12:18.856833,2026-02-07T04:12:18.856840
e1e602a9-6729-42f3-be4d-5052fd240338,P10024,email,2025-11-25T04:12:18.856872,Retained,-0.373,2025-12-25T04:12:18.856872,2026-02-07T04:12:18.856880
ad4fb10f-685f-45eb-bc27-cb5ce3ce4c4f,P10024,email,2025-11-20T04:12:18.856914,Retained,-0.041,2025-12-20T04:12:18.856914,2026-02-07T04:12:18.856921
68018e80-23c8-4520-85d6-26c10c3ac522,P10025,none,2025-12-31T04:12:18.856967,Retained,-0.047,2026-01-30T04:12:18.856967,2026-02-07T04:12:18.856975
2127b20e-330f-4a4f-85a2-dc8c66797f9f,P10026,none,2025-12-30T04:12:18.857021,Retained,0.172,2026-01-29T04:12:18.857021,2026-02-07T04:12:18.857028
4286b2a8-fa92-4caa-8187-1d9fb9beb608,P10026,email,2025-12-19T04:12:18.857061,Retained,0.155,2026-01-18T04:12:18.857061,2026-02-07T04:12:18.857069
68e8ac4a-73b1-4a2e-999a-d8be04ce4807,P10026,email,2025-12-24T04:12:18.857102,Retained,-0.04,2026-01-23T04:12:18.857102,2026-02-07T04:12:18.857109
52e6f92b-e9dd-402d-93b2-af84a646d1ba,P10027,none,2025-12-14T04:12:18.857154,Retained,-0.055,2026-01-13T04:12:18.857154,2026-02-07T04:12:18.857161
63702dcc-971c-4a03-bc30-17388244227c,P10027,email,2025-12-11T04:12:18.857192,Retained,-0.006,2026-01-10T04:12:18.857192,2026-02-07T04:12:18.857199
3020f973-172f-46db-b1d7-b206421fbfa5,P10027,email,2025-11-17T04:12:18.857229,Churned,0.168,2025-12-17T04:12:18.857229,2026-02-07T04:12:18.857237
559dcbee-6f92-485f-aef5-ca3510f63514,P10028,email,2026-01-05T04:12:18.857284,Retained,-0.294,2026-02-04T04:12:18.857284,2026-02-07T04:12:18.857292
1c1c1a93-628c-4b5b-ba94-e73132e93594,P10029,email,2025-12-17T04:12:18.857337,Retained,-0.237,2026-01-16T04:12:18.857337,2026-02-07T04:12:18.857345
cc3ae526-bfd8-4c41-a9c0-71a6ca51e9ca,P10029,email,2025-12-31T04:12:18.857414,Retained,0.051,2026-01-30T04:12:18.857414,2026-02-07T04:12:18.857435
9860cf6d-e6cb-4870-b815-3997f9a6817d,P10029,none,2025-11-16T04:12:18.857486,Retained,-0.013,2025-12-16T04:12:18.857486,2026-02-07T04:12:18.857498
530710c6-14a5-4f5d-90c5-abf4e705eaf8,P10030,email,2026-01-01T04:12:18.857688,Retained,0.2,2026-01-31T04:12:18.857688,2026-02-07T04:12:18.857716
44314751-064d-4a97-a60b-a0882b496de4,P10031,none,2025-12-01T04:12:18.857794,Retained,-0.09,2025-12-31T04:12:18.857794,2026-02-07T04:12:18.857805
4743d5fb-6d5f-4e64-af06-a958482beab7,P10031,email,2025-12-15T04:12:18.857842,Retained,-0.054,2026-01-14T04:12:18.857842,2026-02-07T04:12:18.857851
7fab60f1-677f-4cd8-9900-7fba7148bc39,P10031,email,2025-11-24T04:12:18.857887,Retained,0.2,2025-12-24T04:12:18.857887,2026-02-07T04:12:18.857895
eef312e4-2717-43a4-bf11-6bc7df2d1d8b,P10032,call,2025-12-22T04:12:18.857946,Retained,0.085,2026-01-21T04:12:18.857946,2026-02-07T04:12:18.857954
a67fd413-7d3a-4b05-8a0f-6386604df6fd,P10033,email,2025-12-11T04:12:18.858004,Retained,-0.303,2026-01-10T04:12:18.858004,2026-02-07T04:12:18.858012
8ba5fa47-cbe7-400a-9054-72ad2f28692b,P10033,call,2025-12-09T04:12:18.858046,Churned,0.198,2026-01-08T04:12:18.858046,2026-02-07T04:12:18.858053
b9cc7493-38d2-4b62-ba14-fce24afa5d43,P10033,email,2025-11-24T04:12:18.858086,Churned,0.032,2025-12-24T04:12:18.858086,2026-02-07T04:12:18.858093
479f46dd-ddfc-45f1-9899-a5381a23d39c,P10034,email,2025-12-09T04:12:18.858142,Retained,-0.156,2026-01-08T04:12:18.858142,2026-02-07T04:12:18.858150
772e1fde-b0e5-422f-b35e-c9c3a8129b73,P10034,none,2025-12-31T04:12:18.858184,Retained,-0.023,2026-01-30T04:12:18.858184,2026-02-07T04:12:18.858192
d4c67a84-dea3-49a4-afbf-7f548b57e83e,P10035,none,2025-11-11T04:12:18.858239,Retained,0.072,2025-12-11T04:12:18.858239,2026-02-07T04:12:18.858247
29a60c44-fcdb-44f4-b150-4f85c920777a,P10035,email,2026-01-05T04:12:18.858279,Retained,0.2,2026-02-04T04:12:18.858279,2026-02-07T04:12:18.858286
d2e3377f-d5c2-4080-bdad-35e210259c28,P10035,none,2025-12-18T04:12:18.858318,Churned,0.2,2026-01-17T04:12:18.858318,2026-02-07T04:12:18.858325
27b2818d-2034-437c-97d3-1cd1b4283ba9,P10036,call,2025-12-26T04:12:18.858372,Retained,0.108,2026-01-25T04:12:18.858372,2026-02-07T04:12:18.858380
4b35ebf2-d956-43a5-a79f-40a6121b5289,P10036,email,2025-11-15T04:12:18.858411,Churned,0.153,2025-12-15T04:12:18.858411,2026-02-07T04:12:18.858419
a8bc62e8-ab92-4c79-a295-d3ebe7aad0e4,P10037,none,2025-12-10T04:12:18.858465,Retained,-0.06,2026-01-09T04:12:18.858465,2026-02-07T04:12:18.858472
e17eb934-5eb7-4468-894c-1bdeae2b1fa3,P10037,none,2025-12-19T04:12:18.858504,Churned,-0.013,2026-01-18T04:12:18.858504,2026-02-07T04:12:18.858511
671022b7-c2f7-4747-bade-f1c6b4b83557,P10037,none,2025-11-16T04:12:18.858541,Retained,0.061,2025-12-16T04:12:18.858541,2026-02-07T04:12:18.858549
45d1e081-80c7-413b-9519-3c234db5c8b7,P10038,email,2025-11-13T04:12:18.858594,Retained,0.115,2025-12-13T04:12:18.858594,2026-02-07T04:12:18.858602
6c8fd657-bb78-4d62-adf2-89907eac55e0,P10038,email,2025-11-14T04:12:18.858635,Retained,-0.06,2025-12-14T04:12:18.858635,2026-02-07T04:12:18.858642
8852092c-9fb4-4ee7-8248-791dae8e22d1,P10038,none,2025-11-29T04:12:18.858673,Retained,-0.145,2025-12-29T04:12:18.858673,2026-02-07T04:12:18.858681
45b299af-ea06-47f5-a7d2-1080ca78f769,P10039,email,2025-11-30T04:12:18.858730,Retained,0.11,2025-12-30T04:12:18.858730,2026-02-07T04:12:18.858737
8c7a60af-bd2d-485e-8a38-b9fa1646bd58,P10040,call,2025-12-25T04:12:18.858783,Retained,-0.198,2026-01-24T04:12:18.858783,2026-02-07T04:12:18.858790
cbd2d287-9476-4468-ac6b-c36868e3d25c,P10041,email,2025-11-21T04:12:18.858836,Retained,-0.117,2025-12-21T04:12:18.858836,2026-02-07T04:12:18.858843
aaf28878-85ac-482a-819f-2636457689eb,P10041,none,2025-11-24T04:12:18.858874,Retained,0.001,2025-12-24T04:12:18.858874,2026-02-07T04:12:18.858882
902ab616-2f7b-42e0-9db0-b40fd7edebf5,P10042,none,2025-11-13T04:12:18.858926,Retained,0.119,2025-12-13T04:12:18.858926,2026-02-07T04:12:18.858933
92d7c4ea-bdec-436f-bc08-18b174c4efc5,P10043,call,2026-01-02T04:12:18.858978,Retained,-0.124,2026-02-01T04:12:18.858978,2026-02-07T04:12:18.858985
017fc471-5baa-4f39-8e9f-3bd183079941,P10043,email,2026-01-01T04:12:18.859016,Retained,-0.127,2026-01-31T04:12:18.859016,2026-02-07T04:12:18.859024
11f940e5-af1b-4a46-9f35-068879f42c56,P10043,none,2025-12-21T04:12:18.859055,Retained,0.039,2026-01-20T04:12:18.859055,2026-02-07T04:12:18.859062
5765bd66-233c-4ef8-ab4e-542648d73fe2,P10044,call,2025-12-31T04:12:18.859108,Retained,0.023,2026-01-30T04:12:18.859108,2026-02-07T04:12:18.859115
62f98435-55e3-4a96-9821-73d9608a36a2,P10045,email,2025-11-15T04:12:18.859160,Churned,0.106,2025-12-15T04:12:18.859160,2026-02-07T04:12:18.859167
f952898a-a3ba-49d8-b255-cd8aacf9e73c,P10046,none,2025-12-10T04:12:18.859213,Retained,-0.021,2026-01-09T04:12:18.859213,2026-02-07T04:12:18.859220
4e7df7e7-f547-489b-bc79-4232848856b2,P10046,email,2025-12-02T04:12:18.859252,Churned,0.062,2026-01-01T04:12:18.859252,2026-02-07T04:12:18.859260
f9450983-1dcd-4c42-8500-2d3a0a3b6989,P10046,call,2025-11-09T04:12:18.859291,Retained,-0.252,2025-12-09T04:12:18.859291,2026-02-07T04:12:18.859298
536ad650-9583-47c8-9758-3a403ebb9aec,P10047,none,2025-12-19T04:12:18.859344,Retained,0.008,2026-01-18T04:12:18.859344,2026-02-07T04:12:18.859351
7e023c2f-1127-4ea6-811b-09e5b74c2230,P10047,call,2026-01-01T04:12:18.859382,Churned,0.01,2026-01-31T04:12:18.859382,2026-02-07T04:12:18.859391
38bb249a-8a24-483a-9956-76d1414d96eb,P10048,email,2025-12-14T04:12:18.859436,Retained,0.113,2026-01-13T04:12:18.859436,2026-02-07T04:12:18.859444
05e913a1-f69f-4995-a1be-eb27c64aee02,P10049,none,2025-12-01T04:12:18.859489,Retained,0.063,2025-12-31T04:12:18.859489,2026-02-07T04:12:18.859497
0209a89a-24d0-49ff-81dc-95631f24600e,P10049,none,2025-12-06T04:12:18.859528,Churned,-0.005,2026-01-05T04:12:18.859528,2026-02-07T04:12:18.859535
cae7976f-9656-4389-a6d8-0df0a5080836,P10050,none,2025-12-08T04:12:18.859584,Churned,0.2,2026-01-07T04:12:18.859584,2026-02-07T04:12:18.859591
95957331-852b-4c6f-970a-ffa216c95ba1,P10050,call,2025-12-26T04:12:18.859623,Retained,-0.198,2026-01-25T04:12:18.859623,2026-02-07T04:12:18.859631
1d5447f1-09cc-4811-a30d-8d076dd36ac3,P10051,none,2025-12-05T04:12:18.859679,Retained,0.066,2026-01-04T04:12:18.859679,2026-02-07T04:12:18.859686
b6e90020-21d7-4eb4-b5ec-9d8a51f86f97,P10052,email,2025-12-26T04:12:18.859731,Retained,-0.007,2026-01-25T04:12:18.859731,2026-02-07T04:12:18.859740
0a3f2c37-f6ad-4a51-a0ab-b28062e951bb,P10053,email,2025-12-13T04:12:18.859809,Retained,-0.066,2026-01-12T04:12:18.859809,2026-02-07T04:12:18.859817
5ef36a34-b028-4da4-a429-b6fcebd26e12,P10053,email,2025-11-26T04:12:18.859849,Retained,-0.015,2025-12-26T04:12:18.859849,2026-02-07T04:12:18.859856
be57eeff-e279-482a-b9d6-c7af61f786ae,P10053,none,2025-12-11T04:12:18.859887,Retained,-0.238,2026-01-10T04:12:18.859887,2026-02-07T04:12:18.859894
9d7ba86e-7265-4340-9fcb-b9afae0ec401,P10054,email,2025-12-05T04:12:18.859943,Retained,-0.191,2026-01-04T04:12:18.859943,2026-02-07T04:12:18.859950
0e5c5319-31da-4025-aad9-7ee446794b36,P10055,none,2025-12-01T04:12:18.859995,Retained,-0.188,2025-12-31T04:12:18.859995,2026-02-07T04:12:18.860003
153ee556-3e89-4884-a736-736904911ceb,P10055,email,2025-12-20T04:12:18.860034,Retained,-0.18,2026-01-19T04:12:18.860034,2026-02-07T04:12:18.860042
7a5dba72-7ba1-4aa0-8858-8c88616faccf,P10055,none,2026-01-02T04:12:18.860073,Retained,0.073,2026-02-01T04:12:18.860073,2026-02-07T04:12:18.860080
4000b475-625a-4c04-a8e5-c6cbdba258fb,P10056,email,2026-01-02T04:12:18.860129,Retained,0.144,2026-02-01T04:12:18.860129,2026-02-07T04:12:18.860136
6483d110-784f-4ced-9755-8ca099c37bdb,P10056,none,2025-11-28T04:12:18.860168,Churned,0.012,2025-12-28T04:12:18.860168,2026-02-07T04:12:18.860175
56b69189-c294-4035-8d5c-3451e7a32eb5,P10056,email,2026-01-02T04:12:18.860207,Churned,0.192,2026-02-01T04:12:18.860207,2026-02-07T04:12:18.860215
4d6d1b6b-1a66-4df9-8960-000745c0b280,P10057,email,2025-12-30T04:12:18.860261,Retained,-0.31,2026-01-29T04:12:18.860261,2026-02-07T04:12:18.860268
214dffa2-706a-4d30-ab55-fa425bacc934,P10057,none,2025-12-21T04:12:18.860300,Retained,-0.174,2026-01-20T04:12:18.860300,2026-02-07T04:12:18.860307
a7472a36-cb5e-4cb0-a7a5-e1128d14d6e6,P10057,email,2025-12-18T04:12:18.860338,Retained,-0.373,2026-01-17T04:12:18.860338,2026-02-07T04:12:18.860345
deb45cb1-e1b2-45a4-b5a1-5075eb51c194,P10058,email,2025-12-16T04:12:18.860391,Churned,0.182,2026-01-15T04:12:18.860391,2026-02-07T04:12:18.860399
1ca0edc4-9d76-4074-83d9-5ef3e8b65f28,P10059,email,2025-12-23T04:12:18.860443,Retained,0.162,2026-01-22T04:12:18.860443,2026-02-07T04:12:18.860451
4dfaa9b9-5ffe-450c-8253-cb4018708655,P10059,email,2025-12-14T04:12:18.860482,Retained,0.095,2026-01-13T04:12:18.860482,2026-02-07T04:12:18.860489
05f86447-02cf-4524-b718-2a438c30a2ef,P10059,none,2025-12-12T04:12:18.860520,Retained,0.059,2026-01-11T04:12:18.860520,2026-02-07T04:12:18.860527
28f734d3-1b4b-42a4-a6ad-8bec2343bfd9,P10060,email,2025-11-10T04:12:18.860573,Retained,-0.215,2025-12-10T04:12:18.860573,2026-02-07T04:12:18.860580
179a0397-674a-4e67-aa39-7f91fab650d2,P10060,email,2026-01-06T04:12:18.860611,Retained,0.142,2026-02-05T04:12:18.860611,2026-02-07T04:12:18.860618
07b9a412-c8fc-4695-a2ae-f66ee0a8af00,P10061,call,2025-12-06T04:12:18.860668,Retained,0.041,2026-01-05T04:12:18.860668,2026-02-07T04:12:18.860675
9e7bec66-48b5-49b0-959d-4cccb429e159,P10061,call,2025-12-17T04:12:18.860706,Retained,-0.038,2026-01-16T04:12:18.860706,2026-02-07T04:12:18.860714
237b7bf1-d729-459e-96ef-e474a84ee981,P10061,email,2025-12-03T04:12:18.860745,Retained,0.139,2026-01-02T04:12:18.860745,2026-02-07T04:12:18.860752
e436a945-f5d5-4584-a700-3907d1489aaf,P10062,email,2025-11-10T04:12:18.860802,Retained,-0.105,2025-12-10T04:12:18.860802,2026-02-07T04:12:18.860809
4c90ddbe-bfb8-45f0-9a46-3a68ee109da3,P10063,none,2025-12-01T04:12:18.860853,Churned,-0.032,2025-12-31T04:12:18.860853,2026-02-07T04:12:18.860861
dc89a4d4-d282-4db2-9b9c-3cc28d585b66,P10063,none,2026-01-02T04:12:18.860892,Retained,0.074,2026-02-01T04:12:18.860892,2026-02-07T04:12:18.860899
cd90801b-ab2b-4cd6-8938-c7e6bb16ef9b,P10064,email,2025-12-28T04:12:18.860947,Retained,-0.214,2026-01-27T04:12:18.860947,2026-02-07T04:12:18.860955
7512cba6-843a-4d50-92c6-643ecf36dbbe,P10064,email,2025-11-23T04:12:18.860987,Retained,0.094,2025-12-23T04:12:18.860987,2026-02-07T04:12:18.860994
b47d50bb-7b9e-4700-bd02-23af8787bb68,P10064,none,2025-12-09T04:12:18.861025,Retained,0.075,2026-01-08T04:12:18.861025,2026-02-07T04:12:18.861032
27fd3d71-53b4-4dce-814b-1d2d131b4161,P10065,call,2025-11-14T04:12:18.861077,Retained,-0.004,2025-12-14T04:12:18.861077,2026-02-07T04:12:18.861085
2610670b-d1ae-4f46-af0a-7ff969409390,P10066,none,2025-11-14T04:12:18.861130,Retained,-0.093,2025-12-14T04:12:18.861130,2026-02-07T04:12:18.861137
bea7fccb-89cc-44ce-b7df-4b80416c45d9,P10067,none,2025-12-27T04:12:18.861210,Retained,0.182,2026-01-26T04:12:18.861210,2026-02-07T04:12:18.861218
65dfb30d-1498-4b3c-b7db-84ba6542aedd,P10067,none,2025-12-06T04:12:18.861248,Retained,-0.099,2026-01-05T04:12:18.861248,2026-02-07T04:12:18.861256
c7a56c2a-3b5e-4725-ba40-0ad58a1b597c,P10068,none,2025-12-05T04:12:18.861300,Churned,0.085,2026-01-04T04:12:18.861300,2026-02-07T04:12:18.861307
dd195d7b-e7b0-4c2f-826f-1840d7faa3d5,P10069,email,2025-11-21T04:12:18.861352,Retained,-0.243,2025-12-21T04:12:18.861352,2026-02-07T04:12:18.861359
5888d8d0-ba3e-4c99-ba2c-6a20d25e31f6,P10070,none,2025-12-05T04:12:18.861405,Retained,-0.248,2026-01-04T04:12:18.861405,2026-02-07T04:12:18.861413
d105bc1e-b2de-42e9-9654-1d12287aabd1,P10070,email,2026-01-03T04:12:18.861464,Retained,0.09,2026-02-02T04:12:18.861464,2026-02-07T04:12:18.861472
2cf78b8a-7a91-44a0-8f0e-80949401dff9,P10070,email,2025-11-25T04:12:18.861515,Retained,-0.192,2025-12-25T04:12:18.861515,2026-02-07T04:12:18.861523
759bc649-4090-4487-911a-3fc79566c2c0,P10071,email,2025-12-06T04:12:18.861567,Retained,0.005,2026-01-05T04:12:18.861567,2026-02-07T04:12:18.861574
49c56e09-ba00-4563-8f54-12fecfebad18,P10071,none,2025-11-22T04:12:18.861605,Retained,-0.104,2025-12-22T04:12:18.861605,2026-02-07T04:12:18.861612
1151592b-35bb-4e19-b467-e8c372ae1aa3,P10071,email,2025-12-21T04:12:18.861642,Retained,0.038,2026-01-20T04:12:18.861642,2026-02-07T04:12:18.861649
bf40af33-e396-4ff0-b555-4bf8f918890e,P10072,call,2026-01-04T04:12:18.861695,Retained,0.045,2026-02-03T04:12:18.861695,2026-02-07T04:12:18.861702
f4734bbb-1bea-4efa-a0f3-fe7527d1e6fb,P10072,none,2025-12-11T04:12:18.861734,Retained,0.059,2026-01-10T04:12:18.861734,2026-02-07T04:12:18.861741
214c3111-4025-406a-bc3c-16dc290fe9ed,P10073,none,2025-12-31T04:12:18.861785,Retained,0.001,2026-01-30T04:12:18.861785,2026-02-07T04:12:18.861792
301627c0-8e88-48b1-84db-e2e58e170179,P10073,none,2025-11-19T04:12:18.861844,Retained,0.013,2025-12-19T04:12:18.861844,2026-02-07T04:12:18.861851
a38d55bd-9ecc-4e07-a7e6-e16c401599cb,P10074,none,2025-11-18T04:12:18.861896,Retained,0.126,2025-12-18T04:12:18.861896,2026-02-07T04:12:18.861903
328de9fe-15ab-422e-ae76-44b79a99f0c2,P10074,email,2025-12-28T04:12:18.861934,Retained,-0.14,2026-01-27T04:12:18.861934,2026-02-07T04:12:18.861941
5d199cee-047a-4e79-b94b-b94e56b3eae1,P10075,none,2025-11-29T04:12:18.861985,Retained,-0.261,2025-12-29T04:12:18.861985,2026-02-07T04:12:18.861993
1d9551d7-82f5-487d-b0c7-272bcab35dd0,P10075,email,2025-11-12T04:12:18.862023,Retained,-0.099,2025-12-12T04:12:18.862023,2026-02-07T04:12:18.862031
2f9f3d1f-b3e3-4051-aa45-89e96b00effc,P10075,email,2025-11-21T04:12:18.862061,Churned,0.152,2025-12-21T04:12:18.862061,2026-02-07T04:12:18.862071
21cd09dd-4f6f-4dff-84ca-8ae4a948193c,P10076,none,2025-12-21T04:12:18.862115,Retained,-0.033,2026-01-20T04:12:18.862115,2026-02-07T04:12:18.862123
ba78b664-20b1-4254-8ca0-b631e7007b32,P10076,email,2025-11-14T04:12:18.862155,Retained,0.007,2025-12-14T04:12:18.862155,2026-02-07T04:12:18.862162
fed725ce-366b-4d32-a0c9-3847c19481cf,P10077,email,2025-12-17T04:12:18.862209,Retained,0.082,2026-01-16T04:12:18.862209,2026-02-07T04:12:18.862216
21f1e6f4-84e1-45e8-a26f-43a69b8fe652,P10077,email,2025-11-26T04:12:18.862247,Retained,0.047,2025-12-26T04:12:18.862247,2026-02-07T04:12:18.862254
8015de7f-6380-4036-b575-d8263e2d9468,P10078,none,2025-11-17T04:12:18.862301,Retained,-0.195,2025-12-17T04:12:18.862301,2026-02-07T04:12:18.862308
7f542e10-e0f9-4160-ba06-18783a49373d,P10078,email,2025-12-15T04:12:18.862340,Churned,0.172,2026-01-14T04:12:18.862340,2026-02-07T04:12:18.862347
37fcbebb-09f0-4dc5-8639-cbe97147f328,P10078,call,2025-12-23T04:12:18.862378,Churned,-0.098,2026-01-22T04:12:18.862378,2026-02-07T04:12:18.862386
