partner_id,region,payment_rail_type,is_master_affiliate,tier,tenure_months,avg_commission_3m,commission_volatility,login_count_30d,days_since_last_interaction,dashboard_usage_score,asset_download_count_30d,payment_delay_flag,unresolved_ticket_count,negative_sentiment_score,tier_proximity_score,traffic_quality_score,subnetwork_avg_health_score,subnetwork_recent_churn_count,churn_label,login_trend_30d,revenue_velocity,commission_trend_90d,conversion_rate_wow,churn_scenario,created_at,updated_at
P10010,EMEA,Bank,False,Bronze,17,1827.53,629.25,22,0,0.7393,5,False,1,0.25,1.0,0.4411,,0,False,0.122,27.44,-0.03,0.0232,Healthy,2026-02-07T04:12:17.039823,2026-02-07T04:12:17.039824
P10011,LATAM,Agent,False,Silver,83,1582.0,730.13,10,2,0.8155,5,False,0,0.22,0.582,0.297,,0,False,0.204,30.01,-0.036,0.0099,Healthy,2026-02-07T04:12:17.039883,2026-02-07T04:12:17.039884
P10012,EMEA,Crypto,False,Gold,7,1113.3,416.58,10,4,0.5572,1,False,1,0.36,0.0,0.3787,,0,False,0.222,5.2,0.018,-0.005,Healthy,2026-02-07T04:12:17.039942,2026-02-07T04:12:17.039943
P10013,LATAM,Crypto,False,Bronze,2,1113.8,588.37,21,4,0.5677,2,False,1,0.14,1.0,0.6456,,0,False,0.481,-13.02,0.09,0.0128,Healthy,2026-02-07T04:12:17.039998,2026-02-07T04:12:17.039999
P10014,LATAM,Bank,False,Platinum,39,1689.26,216.21,21,1,0.4277,7,False,3,0.03,0.0,0.7594,,0,False,0.118,7.41,0.042,0.0142,Healthy,2026-02-07T04:12:17.040056,2026-02-07T04:12:17.040057
P10015,EMEA,Crypto,False,Bronze,1,5609.75,1683.97,15,7,0.8315,4,False,0,0.12,1.0,0.4893,,0,False,0.179,51.06,-0.057,0.0203,Healthy,2026-02-07T04:12:17.040111,2026-02-07T04:12:17.040112
P10016,LATAM,Bank,False,Bronze,16,1536.17,638.06,13,2,0.7577,5,False,0,0.16,1.0,0.6042,,0,False,0.123,-18.2,-0.021,-0.0059,Healthy,2026-02-07T04:12:17.040167,2026-02-07T04:12:17.040168
P10017,CIS,Crypto,False,Silver,3,1202.13,197.54,10,0,0.7724,2,False,1,0.33,0.2021,0.7146,,0,False,0.379,2.53,0.066,0.0147,Healthy,2026-02-07T04:12:17.040228,2026-02-07T04:12:17.040229
P10018,EMEA,Crypto,False,Bronze,10,1926.48,415.84,7,2,0.7296,4,False,0,0.33,1.0,0.7045,,0,False,0.056,13.82,-0.009,0.0064,Healthy,2026-02-07T04:12:17.040286,2026-02-07T04:12:17.040287
P10019,LATAM,Bank,False,Bronze,3,1335.51,410.36,8,2,0.6873,1,False,2,0.03,1.0,0.7734,,0,False,-0.255,33.93,-0.071,0.014,Healthy,2026-02-07T04:12:17.040343,2026-02-07T04:12:17.040344
P10020,EMEA,Crypto,False,Bronze,7,1132.51,541.01,10,1,0.6442,5,True,2,0.2,1.0,0.6894,,0,False,0.159,41.05,-0.157,0.0154,Healthy,2026-02-07T04:12:17.040397,2026-02-07T04:12:17.040398
P10021,CIS,Crypto,False,Silver,10,1503.6,76.92,12,6,0.4283,3,False,1,0.1,0.5036,0.6842,,0,False,0.216,-15.68,0.026,0.0028,Healthy,2026-02-07T04:12:17.040460,2026-02-07T04:12:17.040460
P10022,MENA,Agent,False,Bronze,30,1106.36,589.3,11,0,0.82,3,False,0,0.16,1.0,0.3485,,0,False,0.072,31.77,0.058,0.0134,Healthy,2026-02-07T04:12:17.040513,2026-02-07T04:12:17.040514
P10023,MENA,Bank,False,Bronze,16,1609.23,519.55,15,12,0.5351,4,False,0,0.18,1.0,0.7303,,0,False,0.304,-14.55,-0.1,0.0061,Healthy,2026-02-07T04:12:17.040565,2026-02-07T04:12:17.040566
P10024,EMEA,Bank,False,Bronze,12,1596.79,432.85,20,4,0.437,1,False,1,0.1,1.0,0.5761,,0,False,-0.093,13.19,-0.0,0.0326,Healthy,2026-02-07T04:12:17.040617,2026-02-07T04:12:17.040618
P10025,EMEA,Crypto,False,Bronze,14,1156.54,404.93,12,14,0.5851,0,False,0,0.21,1.0,0.7991,,0,False,0.15,-21.6,-0.008,0.0066,Healthy,2026-02-07T04:12:17.040670,2026-02-07T04:12:17.040670
P10026,LATAM,P2P,False,Gold,31,1547.02,247.89,19,1,0.2215,2,False,0,0.39,0.0,0.4723,,0,False,0.042,43.1,0.029,0.0123,Healthy,2026-02-07T04:12:17.040726,2026-02-07T04:12:17.040727
P10027,APAC,Bank,False,Bronze,14,2375.61,588.11,11,9,0.5896,0,False,1,0.03,1.0,0.492,,0,True,-0.086,-40.69,0.12,-0.0097,Passive_Disengagement,2026-02-07T04:12:17.040779,2026-02-07T04:12:17.040780
P10028,LATAM,Mobile_Money,False,Bronze,8,1879.1,494.13,16,4,0.7821,4,False,2,0.11,1.0,0.7815,,0,False,0.445,8.58,-0.105,0.004,Healthy,2026-02-07T04:12:17.040832,2026-02-07T04:12:17.040833
P10029,CIS,Agent,False,Silver,5,2157.83,501.92,13,12,0.5046,6,False,0,0.27,1.0,0.675,,0,False,0.056,10.89,0.095,0.0023,Healthy,2026-02-07T04:12:17.040891,2026-02-07T04:12:17.040892
P10030,LATAM,P2P,False,Bronze,2,1071.47,112.94,25,6,0.68,4,False,0,0.14,1.0,0.3897,,0,True,-0.57,-150.34,-0.185,-0.0141,Passive_Disengagement,2026-02-07T04:12:17.040945,2026-02-07T04:12:17.040946
P10031,LATAM,Crypto,False,Bronze,6,1257.8,370.4,16,2,0.4077,1,False,2,0.21,1.0,0.7288,,0,False,-0.056,-9.12,0.115,0.0313,Healthy,2026-02-07T04:12:17.041002,2026-02-07T04:12:17.041003
P10032,MENA,Bank,False,Silver,4,1244.11,259.08,33,4,0.7678,6,False,0,0.2,0.2441,0.4168,,0,False,-0.162,-94.42,-0.05,0.0281,Healthy,2026-02-07T04:12:17.041059,2026-02-07T04:12:17.041060
P10033,APAC,P2P,False,Bronze,5,6159.69,1916.53,19,9,0.6385,4,True,1,0.27,1.0,0.4631,,0,False,0.13,34.53,-0.099,0.0104,Healthy,2026-02-07T04:12:17.041113,2026-02-07T04:12:17.041114
P10034,APAC,P2P,False,Bronze,27,1102.46,348.73,16,16,0.7031,2,False,0,0.19,1.0,0.6066,,0,False,0.125,56.97,0.015,0.0017,Healthy,2026-02-07T04:12:17.041167,2026-02-07T04:12:17.041168
P10035,APAC,Mobile_Money,False,Bronze,10,1166.53,726.19,20,1,0.5906,4,False,1,0.35,1.0,0.7813,,0,False,0.339,20.28,0.057,0.0185,Healthy,2026-02-07T04:12:17.041220,2026-02-07T04:12:17.041221
P10036,MENA,P2P,False,Bronze,1,8904.33,2760.84,24,3,0.6359,2,False,0,0.13,1.0,0.7148,,0,False,-0.088,40.71,-0.067,0.0156,Healthy,2026-02-07T04:12:17.041272,2026-02-07T04:12:17.041273
P10037,LATAM,Crypto,False,Bronze,4,41334.98,12496.27,14,4,0.5268,1,False,0,0.19,1.0,0.4096,,0,False,0.175,18.27,-0.044,0.0372,Healthy,2026-02-07T04:12:17.041325,2026-02-07T04:12:17.041326
P10038,CIS,P2P,False,Silver,7,4279.52,1355.44,25,3,0.4353,1,False,0,0.27,1.0,0.2603,,0,False,0.031,-23.83,0.065,0.0025,Healthy,2026-02-07T04:12:17.041382,2026-02-07T04:12:17.041383
P10039,LATAM,Bank,False,Bronze,36,3064.07,961.54,11,2,0.746,5,False,0,0.27,1.0,0.4142,,0,False,-0.087,19.71,-0.003,-0.0148,Healthy,2026-02-07T04:12:17.041435,2026-02-07T04:12:17.041436
P10040,CIS,Crypto,False,Bronze,8,2170.26,640.99,12,17,0.7133,3,False,0,0.53,1.0,0.5546,,0,False,-0.228,35.41,0.118,0.0282,Healthy,2026-02-07T04:12:17.041487,2026-02-07T04:12:17.041488
P10041,CIS,P2P,False,Gold,4,1107.74,314.42,14,3,0.531,1,False,0,0.16,0.0,0.8793,,0,False,0.638,-18.15,0.072,0.0141,Healthy,2026-02-07T04:12:17.041543,2026-02-07T04:12:17.041544
P10042,APAC,Agent,False,Bronze,21,4805.28,1311.44,16,3,0.6464,5,False,1,0.31,1.0,0.457,,0,False,0.141,45.68,-0.078,0.019,Healthy,2026-02-07T04:12:17.041596,2026-02-07T04:12:17.041597
P10043,MENA,Crypto,False,Silver,2,1969.69,731.14,4,5,0.6954,1,False,0,0.18,0.9697,0.9512,,0,False,0.508,-31.69,-0.112,0.0253,Healthy,2026-02-07T04:12:17.041651,2026-02-07T04:12:17.041652
P10044,EMEA,Agent,False,Silver,22,14635.46,4878.59,12,13,0.7014,2,True,0,0.42,1.0,0.7172,,0,False,-0.267,-19.08,0.064,0.0377,Healthy,2026-02-07T04:12:17.041707,2026-02-07T04:12:17.041708
P10045,LATAM,P2P,False,Bronze,59,1767.61,574.74,16,0,0.7424,2,False,1,0.26,1.0,0.5849,,0,False,-0.062,17.18,-0.043,0.0433,Healthy,2026-02-07T04:12:17.041763,2026-02-07T04:12:17.041764
P10046,LATAM,P2P,False,Gold,4,1090.61,79.62,15,4,0.7012,3,False,0,0.04,0.0,0.671,,0,False,-0.057,-23.02,-0.037,0.0012,Healthy,2026-02-07T04:12:17.041819,2026-02-07T04:12:17.041820
P10047,EMEA,Bank,False,Silver,4,1953.15,546.44,17,3,0.8549,3,False,0,0.07,0.9532,0.7687,,0,False,-0.168,0.51,0.117,0.0121,Healthy,2026-02-07T04:12:17.041875,2026-02-07T04:12:17.041876
P10048,EMEA,P2P,False,Bronze,25,1125.01,438.25,19,6,0.7545,3,False,0,0.28,1.0,0.509,,0,False,0.234,1.29,0.041,0.0148,Healthy,2026-02-07T04:12:17.041931,2026-02-07T04:12:17.041932
P10049,MENA,Crypto,False,Bronze,9,1178.56,146.25,25,18,0.6785,4,False,0,0.08,1.0,0.5485,,0,False,-0.528,18.8,0.043,-0.0019,Healthy,2026-02-07T04:12:17.041987,2026-02-07T04:12:17.041988
P10050,LATAM,P2P,True,Silver,2,1056.1,274.14,26,0,0.634,2,False,0,0.03,0.0561,0.5181,86.49,5,False,-0.184,-44.06,0.063,0.0214,Healthy,2026-02-07T04:12:17.042053,2026-02-07T04:12:17.042054
P10051,MENA,Bank,False,Bronze,11,1016.85,477.68,8,0,0.4188,4,False,0,0.34,1.0,0.6781,,0,False,-0.125,-58.29,0.043,0.0131,Healthy,2026-02-07T04:12:17.042106,2026-02-07T04:12:17.042107
P10052,Africa,Agent,False,Bronze,20,1642.41,628.31,11,0,0.5004,3,False,0,0.28,1.0,0.5456,,0,True,-0.351,-28.05,-0.198,-0.0566,Passive_Disengagement,2026-02-07T04:12:17.042160,2026-02-07T04:12:17.042161
P10053,MENA,P2P,False,Bronze,3,1093.4,565.16,20,1,0.5292,3,False,0,0.08,1.0,0.682,,0,False,0.161,3.69,-0.028,-0.0092,Healthy,2026-02-07T04:12:17.042216,2026-02-07T04:12:17.042217
P10054,APAC,Crypto,False,Silver,51,1267.91,336.12,12,10,0.3434,6,False,1,0.29,0.2679,0.7231,,0,False,0.149,31.71,0.204,0.0261,Healthy,2026-02-07T04:12:17.042273,2026-02-07T04:12:17.042274
P10055,EMEA,Bank,False,Bronze,21,5936.58,2038.92,20,0,0.6115,2,False,1,0.36,1.0,0.775,,0,False,-0.24,-23.19,-0.016,-0.0023,Healthy,2026-02-07T04:12:17.042328,2026-02-07T04:12:17.042329
P10056,CIS,Mobile_Money,False,Bronze,10,3015.56,949.6,22,2,0.852,2,False,0,0.48,1.0,0.5691,,0,False,0.206,-6.54,-0.045,0.0099,Healthy,2026-02-07T04:12:17.042382,2026-02-07T04:12:17.042383
P10057,LATAM,Crypto,False,Silver,22,3817.97,590.68,21,0,0.8385,8,False,0,0.1,1.0,0.7054,,0,False,-0.056,33.14,-0.132,0.0126,Healthy,2026-02-07T04:12:17.042437,2026-02-07T04:12:17.042438
P10058,Africa,Bank,False,Bronze,37,4905.19,1574.28,10,3,0.5068,4,False,1,0.2,1.0,0.6228,,0,True,-0.36,-116.91,-0.116,0.0014,Passive_Disengagement,2026-02-07T04:12:17.042492,2026-02-07T04:12:17.042493
P10059,MENA,Bank,False,Bronze,1,1057.36,167.64,22,2,0.65,1,False,0,0.38,1.0,0.6556,,0,False,-0.035,-6.26,0.071,0.0033,Healthy,2026-02-07T04:12:17.042545,2026-02-07T04:12:17.042546
P10060,EMEA,Crypto,False,Bronze,35,3022.53,942.05,12,3,0.746,6,False,0,0.35,1.0,0.465,,0,False,0.075,58.74,0.046,0.0062,Healthy,2026-02-07T04:12:17.042598,2026-02-07T04:12:17.042599
P10061,CIS,Agent,False,Bronze,10,37331.64,11187.28,9,11,0.2629,4,False,0,0.35,1.0,0.4103,,0,False,0.247,29.69,0.087,0.0036,Healthy,2026-02-07T04:12:17.042652,2026-02-07T04:12:17.042653
P10062,Africa,Bank,True,Platinum,2,1214.75,173.4,18,2,0.519,6,False,1,0.18,0.0,0.6696,78.12,7,True,0.302,-65.97,-0.116,-0.0691,Network_Contagion,2026-02-07T04:12:17.042708,2026-02-07T04:12:17.042712
P10063,CIS,Crypto,True,Bronze,12,4566.36,1170.05,10,6,0.6338,5,False,2,0.05,1.0,0.666,83.33,7,False,0.325,40.38,-0.135,0.0119,Healthy,2026-02-07T04:12:17.042769,2026-02-07T04:12:17.042770
P10064,LATAM,Bank,False,Bronze,19,11037.91,3381.5,18,7,0.3697,2,False,0,0.14,1.0,0.7095,,0,True,0.027,-97.42,-0.018,-0.0352,Passive_Disengagement,2026-02-07T04:12:17.042825,2026-02-07T04:12:17.042826
P10065,MENA,Agent,False,Bronze,59,3059.26,1095.51,10,1,0.4425,0,True,0,0.42,1.0,0.507,,0,False,0.197,-9.48,0.027,0.003,Healthy,2026-02-07T04:12:17.042878,2026-02-07T04:12:17.042879
P10066,Africa,Agent,False,Bronze,1,4639.2,1206.29,16,0,0.577,3,False,0,0.17,1.0,0.6053,,0,False,-0.143,10.9,-0.001,-0.026,Healthy,2026-02-07T04:12:17.042931,2026-02-07T04:12:17.042932
P10067,MENA,Mobile_Money,False,Silver,24,1837.51,426.72,16,1,0.8953,3,False,0,0.04,0.8375,0.6734,,0,False,0.125,4.59,-0.042,0.0071,Healthy,2026-02-07T04:12:17.042998,2026-02-07T04:12:17.042999
P10068,EMEA,Bank,False,Bronze,12,5973.16,2172.19,14,24,0.6896,5,False,2,0.12,1.0,0.6481,,0,False,-0.128,0.79,0.142,0.0026,Healthy,2026-02-07T04:12:17.043050,2026-02-07T04:12:17.043051
P10069,LATAM,Bank,False,Bronze,51,2590.95,559.21,26,4,0.5552,2,False,0,0.05,1.0,0.2917,,0,False,-0.079,63.26,-0.075,0.0238,Healthy,2026-02-07T04:12:17.043102,2026-02-07T04:12:17.043103
P10070,APAC,Agent,False,Bronze,28,4436.89,967.21,9,4,0.9132,2,False,0,0.11,1.0,0.5716,,0,False,0.272,-25.5,-0.11,0.0291,Healthy,2026-02-07T04:12:17.043154,2026-02-07T04:12:17.043155
P10071,LATAM,Mobile_Money,False,Bronze,20,1139.48,247.08,14,3,0.5674,2,False,1,0.27,1.0,0.7098,,0,True,-0.535,-139.45,-0.017,-0.0708,Passive_Disengagement,2026-02-07T04:12:17.043211,2026-02-07T04:12:17.043212
P10072,LATAM,P2P,False,Bronze,25,4693.88,1047.95,10,1,0.6208,2,False,0,0.14,1.0,0.7378,,0,False,-0.205,-35.74,0.039,0.014,Healthy,2026-02-07T04:12:17.043264,2026-02-07T04:12:17.043265
P10073,CIS,Bank,False,Silver,2,3907.3,1526.01,19,14,0.5402,4,False,1,0.08,1.0,0.4386,,0,False,-0.017,44.97,0.004,0.008,Healthy,2026-02-07T04:12:17.043320,2026-02-07T04:12:17.043321
P10074,EMEA,P2P,False,Gold,1,1748.07,725.13,23,5,0.8365,3,False,2,0.05,0.0,0.5934,,0,True,0.146,-110.68,-0.055,-0.0464,Tier_Cliff_Anxiety,2026-02-07T04:12:17.043376,2026-02-07T04:12:17.043377
P10075,APAC,Crypto,False,Bronze,7,1106.75,327.22,0,0,0.5691,1,False,0,0.24,1.0,0.5762,,0,False,0.177,12.37,0.022,-0.0148,Healthy,2026-02-07T04:12:17.043429,2026-02-07T04:12:17.043430
P10076,EMEA,Bank,False,Gold,12,1672.56,742.39,29,0,0.6518,3,False,1,0.11,0.0,0.673,,0,False,0.274,0.16,0.032,0.0224,Healthy,2026-02-07T04:12:17.043488,2026-02-07T04:12:17.043489
P10077,APAC,Bank,False,Bronze,5,4926.1,1304.4,23,11,0.5932,2,False,0,0.24,1.0,0.6638,,0,False,0.262,-3.14,0.031,0.0161,Healthy,2026-02-07T04:12:17.043542,2026-02-07T04:12:17.043543
P10078,EMEA,Crypto,False,Bronze,4,1486.67,421.01,10,7,0.5736,4,False,1,0.15,1.0,0.5105,,0,True,-0.34,-115.14,-0.25,-0.0649,Passive_Disengagement,2026-02-07T04:12:17.043595,2026-02-07T04:12:17.043596
P10079,CIS,Bank,False,Bronze,7,1016.97,328.89,13,3,0.2421,4,False,1,0.29,1.0,0.5105,,0,False,-0.098,39.66,-0.088,0.0201,Healthy,2026-02-07T04:12:17.043650,2026-02-07T04:12:17.043651
P10080,EMEA,Crypto,False,Bronze,1,1250.25,510.47,14,6,0.4181,1,False,0,0.19,1.0,0.4552,,0,False,-0.024,-25.1,0.088,0.0196,Healthy,2026-02-07T04:12:17.043702,2026-02-07T04:12:17.043703
P10081,APAC,Crypto,False,Gold,22,1056.93,269.73,8,0,0.9303,2,False,1,0.24,0.0,0.5436,,0,True,-0.057,-78.08,-0.04,-0.0385,Tier_Cliff_Anxiety,2026-02-07T04:12:17.043758,2026-02-07T04:12:17.043759
P10082,EMEA,Bank,False,Silver,71,1199.34,36.33,18,7,0.408,3,True,1,0.23,0.1993,0.7181,,0,False,0.103,72.99,0.0,0.0046,Healthy,2026-02-07T04:12:17.043814,2026-02-07T04:12:17.043815
P10083,APAC,Mobile_Money,False,Platinum,1,3434.6,900.87,4,7,0.4124,3,False,1,0.38,0.0,0.584,,0,True,-0.197,-141.61,0.158,-0.019,Tier_Cliff_Anxiety,2026-02-07T04:12:17.043870,2026-02-07T04:12:17.043871
P10084,MENA,Bank,False,Bronze,40,12472.18,4268.5,13,7,0.8821,3,False,0,0.18,1.0,0.7272,,0,False,0.242,-18.57,0.054,0.0116,Healthy,2026-02-07T04:12:17.043923,2026-02-07T04:12:17.043924
P10085,APAC,Crypto,False,Bronze,2,3491.84,1258.06,9,18,0.7905,0,False,2,0.06,1.0,0.5143,,0,False,-0.146,33.5,-0.0,0.001,Healthy,2026-02-07T04:12:17.043975,2026-02-07T04:12:17.043976
P10086,EMEA,P2P,False,Bronze,14,2901.18,1154.83,18,4,0.8115,2,False,0,0.21,1.0,0.5761,,0,False,0.235,-6.08,0.063,-0.0095,Healthy,2026-02-07T04:12:17.044033,2026-02-07T04:12:17.044033
P10087,Africa,Agent,False,Silver,23,2037.68,366.86,14,2,0.6121,0,False,1,0.29,1.0,0.6275,,0,False,0.314,64.58,0.023,0.0064,Healthy,2026-02-07T04:12:17.044089,2026-02-07T04:12:17.044090
P10088,CIS,P2P,False,Bronze,2,5630.32,1742.9,11,1,0.3878,4,False,1,0.33,1.0,0.3443,,0,False,-0.124,-11.11,0.095,0.0372,Healthy,2026-02-07T04:12:17.044146,2026-02-07T04:12:17.044147
P10089,APAC,Bank,False,Bronze,52,2422.74,595.34,23,1,0.8068,3,False,0,0.14,1.0,0.6919,,0,False,-0.282,-42.42,0.01,0.0242,Healthy,2026-02-07T04:12:17.044199,2026-02-07T04:12:17.044200
P10090,Africa,P2P,False,Bronze,1,13564.04,3812.02,10,4,0.7951,5,False,0,0.3,1.0,0.7386,,0,False,0.389,0.19,-0.11,0.0084,Healthy,2026-02-07T04:12:17.044251,2026-02-07T04:12:17.044251
P10091,CIS,Bank,False,Silver,67,1097.07,428.62,14,0,0.6363,2,False,0,0.39,0.0971,0.6369,,0,False,0.003,-13.51,-0.035,-0.0037,Healthy,2026-02-07T04:12:17.044309,2026-02-07T04:12:17.044310
P10092,LATAM,Crypto,False,Silver,16,2620.27,619.72,18,8,0.8547,3,False,0,0.15,1.0,0.7574,,0,False,0.194,-30.16,0.075,0.0009,Healthy,2026-02-07T04:12:17.044367,2026-02-07T04:12:17.044368
P10093,APAC,P2P,False,Gold,1,4487.5,1690.13,11,0,0.514,3,False,1,0.15,0.0,0.5867,,0,False,0.116,12.99,-0.113,-0.0222,Healthy,2026-02-07T04:12:17.044426,2026-02-07T04:12:17.044427
P10094,APAC,Agent,False,Silver,6,8272.1,2588.2,13,2,0.7009,4,False,2,0.08,1.0,0.5609,,0,False,-0.009,39.27,0.093,-0.0087,Healthy,2026-02-07T04:12:17.044482,2026-02-07T04:12:17.044483
P10095,LATAM,Bank,False,Bronze,39,1269.13,391.73,8,1,0.8097,2,False,1,0.39,1.0,0.5026,,0,False,0.157,19.83,0.094,-0.0052,Healthy,2026-02-07T04:12:17.044536,2026-02-07T04:12:17.044537
P10096,EMEA,Bank,False,Bronze,2,2760.54,845.3,11,11,0.9072,2,False,0,0.29,1.0,0.5449,,0,False,0.076,-52.57,0.005,0.0064,Healthy,2026-02-07T04:12:17.044588,2026-02-07T04:12:17.044589
P10097,LATAM,Agent,False,Gold,11,1070.22,607.1,24,11,0.4653,1,False,0,0.02,0.0,0.8288,,0,False,-0.088,4.4,-0.029,0.0364,Healthy,2026-02-07T04:12:17.044645,2026-02-07T04:12:17.044645
P10098,MENA,P2P,False,Bronze,4,2545.4,707.05,13,8,0.7396,5,True,1,0.21,1.0,0.5313,,0,False,0.112,15.72,0.095,-0.0055,Healthy,2026-02-07T04:12:17.044699,2026-02-07T04:12:17.044700
P10099,EMEA,P2P,False,Bronze,4,1383.58,494.66,8,2,0.7702,5,False,1,0.28,1.0,0.8099,,0,False,0.19,41.34,0.063,0.0207,Healthy,2026-02-07T04:12:17.044755,2026-02-07T04:12:17.044756
P10100,LATAM,Bank,False,Silver,8,1629.28,640.69,17,0,0.341,6,False,0,0.12,0.6293,0.7801,,0,False,0.001,20.02,0.135,0.0262,Healthy,2026-02-07T04:12:17.044947,2026-02-07T04:12:17.044952
P10101,LATAM,Bank,False,Silver,17,3450.72,772.77,23,4,0.6119,3,False,0,0.19,1.0,0.4769,,0,False,-0.051,68.88,0.02,0.0252,Healthy,2026-02-07T04:12:17.045052,2026-02-07T04:12:17.045053
P10102,APAC,Bank,False,Silver,16,1185.78,624.03,11,5,0.7306,6,False,0,0.33,0.1858,0.7677,,0,True,-0.187,-66.72,0.016,-0.0214,Passive_Disengagement,2026-02-07T04:12:17.045116,2026-02-07T04:12:17.045117
P10103,CIS,Bank,False,Silver,6,4050.75,1147.0,17,18,0.7775,4,True,0,0.17,1.0,0.4598,,0,True,-0.21,-82.47,-0.022,-0.0125,Trust_Erosion,2026-02-07T04:12:17.045178,2026-02-07T04:12:17.045179
P10104,APAC,Bank,False,Bronze,2,1291.06,257.36,25,0,0.5552,2,False,0,0.15,1.0,0.7742,,0,False,0.054,-15.4,0.018,-0.0183,Healthy,2026-02-07T04:12:17.045233,2026-02-07T04:12:17.045234
P10105,CIS,Bank,False,Bronze,11,3043.28,834.22,29,7,0.6643,4,False,1,0.03,1.0,0.7558,,0,False,-0.343,17.86,-0.08,0.0047,Healthy,2026-02-07T04:12:17.045289,2026-02-07T04:12:17.045290
P10106,EMEA,Bank,False,Bronze,8,2545.29,1300.52,16,1,0.5988,4,False,0,0.15,1.0,0.652,,0,False,0.147,22.26,-0.005,-0.0026,Healthy,2026-02-07T04:12:17.045346,2026-02-07T04:12:17.045347
P10107,LATAM,Agent,False,Silver,17,3306.86,814.72,13,2,0.3741,2,False,1,0.21,1.0,0.713,,0,False,0.328,14.24,-0.15,0.0215,Healthy,2026-02-07T04:12:17.045404,2026-02-07T04:12:17.045405
P10108,EMEA,Crypto,False,Bronze,1,1994.9,641.55,24,0,0.8321,2,False,0,0.1,1.0,0.5146,,0,False,-0.039,32.29,0.029,0.0004,Healthy,2026-02-07T04:12:17.045458,2026-02-07T04:12:17.045459
P10109,LATAM,Agent,False,Bronze,26,1258.96,344.44,13,16,0.6461,6,False,0,0.16,1.0,0.791,,0,False,0.004,39.9,-0.017,0.0196,Healthy,2026-02-07T04:12:17.045513,2026-02-07T04:12:17.045514
P10110,LATAM,Bank,False,Bronze,16,1150.94,307.18,14,3,0.4296,5,False,0,0.19,1.0,0.6343,,0,False,-0.171,-5.87,-0.065,0.0283,Healthy,2026-02-07T04:12:17.045567,2026-02-07T04:12:17.045568
P10111,LATAM,P2P,False,Bronze,6,1795.44,486.86,21,2,0.406,6,False,1,0.08,1.0,0.4431,,0,False,0.17,-18.56,0.026,0.0139,Healthy,2026-02-07T04:12:17.045621,2026-02-07T04:12:17.045621
